time_s,time_ns,time_ps,p_left,p_right,population_imbalance,omega_rad_s,tau_p_s
0.0,0.0,0.0,1.0,0.0,-1.0,11253517.47192591,2.7916539530214507e-07
1.3961760205158544e-10,0.13961760205158544,139.61760205158544,0.9999993828413111,6.171586889314185e-07,-0.9999987656826221,11253517.47192591,2.7916539530214507e-07
2.792352041031709e-10,0.2792352041031709,279.2352041031709,0.9999975313667677,2.4686332322221283e-06,-0.9999950627335354,11253517.47192591,2.7916539530214507e-07
4.1885280615475633e-10,0.41885280615475634,418.8528061547563,0.9999944455809407,5.5544190592504705e-06,-0.9999888911618815,11253517.47192591,2.7916539530214507e-07
5.584704082063418e-10,0.5584704082063418,558.4704082063417,0.9999901254914476,9.874508552332184e-06,-0.9999802509828952,11253517.47192591,2.7916539530214507e-07
6.980880102579272e-10,0.6980880102579271,698.0880102579272,0.9999845711089532,1.5428891046720405e-05,-0.9999691422179064,11253517.47192591,2.7916539530214507e-07
8.377056123095127e-10,0.8377056123095127,837.7056123095126,0.9999777824471693,2.221755283071669e-05,-0.9999555648943386,11253517.47192591,2.7916539530214507e-07
9.773232143610981e-10,0.9773232143610981,977.3232143610982,0.9999697595228545,3.0240477145559996e-05,-0.999939519045709,11253517.47192591,2.7916539530214507e-07
1.1169408164126835e-09,1.1169408164126835,1116.9408164126835,0.9999605023558145,3.9497644185593206e-05,-0.9999210047116289,11253517.47192591,2.7916539530214507e-07
1.256558418464269e-09,1.2565584184642689,1256.558418464269,0.9999500109689017,4.998903109826314e-05,-0.9999000219378034,11253517.47192591,2.7916539530214507e-07
1.3961760205158543e-09,1.3961760205158542,1396.1760205158544,0.9999382853880159,6.171461198412054e-05,-0.9998765707760318,11253517.47192591,2.7916539530214507e-07
1.53579362256744e-09,1.53579362256744,1535.79362256744,0.999925325642103,7.467435789704213e-05,-0.999850651284206,11253517.47192591,2.7916539530214507e-07
1.6754112246190253e-09,1.6754112246190254,1675.4112246190252,0.9999111317631558,8.886823684417511e-05,-0.9998222635263116,11253517.47192591,2.7916539530214507e-07
1.8150288266706107e-09,1.8150288266706107,1815.0288266706107,0.9998957037862141,0.00010429621378593712,-0.9997914075724281,11253517.47192591,2.7916539530214507e-07
1.9546464287221963e-09,1.9546464287221963,1954.6464287221963,0.9998790417493637,0.00012095825063634935,-0.9997580834987274,11253517.47192591,2.7916539530214507e-07
2.0942640307737817e-09,2.0942640307737816,2094.2640307737815,0.9998611456937372,0.00013885430626287,-0.9997222913874744,11253517.47192591,2.7916539530214507e-07
2.233881632825367e-09,2.233881632825367,2233.881632825367,0.9998420156635133,0.00015798433648672727,-0.9996840313270265,11253517.47192591,2.7916539530214507e-07
2.3734992348769525e-09,2.3734992348769524,2373.4992348769524,0.9998216517059171,0.000178348294082864,-0.9996433034118342,11253517.47192591,2.7916539530214507e-07
2.513116836928538e-09,2.5131168369285377,2513.116836928538,0.99980005387122,0.00019994612878004858,-0.9996001077424399,11253517.47192591,2.7916539530214507e-07
2.6527344389801232e-09,2.652734438980123,2652.7344389801233,0.9997772222127388,0.0002227777872611525,-0.9995544444254776,11253517.47192591,2.7916539530214507e-07
2.7923520410317086e-09,2.7923520410317084,2792.3520410317087,0.9997531567868367,0.0002468432131632059,-0.9995063135736735,11253517.47192591,2.7916539530214507e-07
2.9319696430832944e-09,2.9319696430832947,2931.9696430832946,0.9997278576529227,0.0002721423470773421,-0.9994557153058454,11253517.47192591,2.7916539530214507e-07
3.07158724513488e-09,3.07158724513488,3071.58724513488,0.9997013248734506,0.0002986751265493526,-0.9994026497469013,11253517.47192591,2.7916539530214507e-07
3.2112048471864652e-09,3.2112048471864654,3211.204847186465,0.9996735585139206,0.0003264414860794096,-0.9993471170278412,11253517.47192591,2.7916539530214507e-07
