p,RSS_profile,LR_profile,threshold_95
0.98,0.0001612133637052623,122.4435485795421,3.841458820694124
0.98005,0.00016043550127090784,122.37099766746132,3.841458820694124
0.9801,0.00015965954721098362,122.29827343287303,3.841458820694124
0.98015,0.00015888550133102074,122.22537503997769,3.841458820694124
0.9802,0.00015811336343777487,122.15230164703235,3.841458820694124
0.98025,0.00015734313333780103,122.07905240615915,3.841458820694124
0.9803,0.00015657481083535183,122.005626463084,3.841458820694124
0.9803499999999999,0.00015580839573605112,121.93202295742473,3.841458820694124
0.9803999999999999,0.00015504388784498986,121.85824102244935,3.841458820694124
0.9804499999999999,0.00015428128696820875,121.78427978515703,3.841458820694124
0.9804999999999999,0.00015352059291206762,121.7101383661567,3.841458820694124
0.98055,0.00015276180548289193,121.63581587956978,3.841458820694124
0.9806,0.00015200492448406,121.56131143267883,3.841458820694124
0.98065,0.00015124994972109243,121.48662412636052,3.841458820694124
0.9807,0.00015049688100318858,121.41175305517817,3.841458820694124
0.98075,0.00014974571813168407,121.33669730616869,3.841458820694124
0.9808,0.0001489964609159644,121.26145596035782,3.841458820694124
0.98085,0.0001482491091599886,121.18602809134879,3.841458820694124
0.9809,0.00014750366266902675,121.1104127659249,3.841458820694124
0.98095,0.00014676012124977626,121.03460904399519,3.841458820694124
0.981,0.0001460184847082888,120.95861597831437,3.841458820694124
0.98105,0.0001452787528500676,120.88243261442004,3.841458820694124
0.9811,0.00014454092547808178,120.80605799035266,3.841458820694124
0.98115,0.0001438050024020806,120.72949113754709,3.841458820694124
0.9812,0.00014307098342610772,120.6527310794675,3.841458820694124
0.98125,0.00014233886835480713,120.5757768321815,3.841458820694124
0.9813,0.00014160865699533467,120.49862740448803,3.841458820694124
0.98135,0.00014088034915447643,120.42128179754036,3.841458820694124
0.9813999999999999,0.000140153944635658,120.34373900444706,3.841458820694124
0.9814499999999999,0.00013942944324564486,120.2659980109043,3.841458820694124
0.9815,0.00013870684479082323,120.18805779472297,3.841458820694124
0.98155,0.00013798614907544032,120.10991732555524,3.841458820694124
0.9816,0.00013726735590850948,120.03157556556091,3.841458820694124
0.98165,0.00013655046509149682,119.95303146798504,3.841458820694124
0.9817,0.00013583547643290558,119.87428397866265,3.841458820694124
0.98175,0.00013512238973803858,119.79533203481706,3.841458820694124
0.9818,0.00013441120481300997,119.71617456541183,3.841458820694124
0.98185,0.00013370192146334986,119.63681049090886,3.841458820694124
0.9819,0.0001329945394950307,119.55723872329364,3.841458820694124
0.98195,0.00013228905871391083,119.47745816592357,3.841458820694124
