theta_rad,theta_deg,xp_A,yp_A,d_A,k,A,B,C,G,lambda,S0,xi0,xi1,f,beta,delta,exponent,tau_p_s,Omega_rad_s,nu_tunnel_Hz
-0.5235987755982988,-29.999999999999996,1.0339745962155613,-0.29999999999999993,1.0766166753395254,-0.29014252487249353,0.8750000000000001,0.625,-0.649519052838329,0.6608768266301779,0.44583648553261224,1.277886208492545,34.71899868707622,-0.19058142670908113,0.003263670919312281,0.08185161641277347,10.766166753395254,0.17642492324315462,2.3829006560116837e-16,1.3183901081499342e+16,2098283026355205.2
-0.5232497097479,-29.98,1.0338001160551906,-0.2996976696503583,1.0763648884786148,-0.289899048177664,0.8751511194730006,0.6248488805269993,-0.6492570951879482,0.6612567527743876,0.4459117550644029,1.277886208492545,35.58271744796022,-0.19059185960652095,0.0031062009197279816,0.08187266248591216,10.763648884786146,0.17184077255687566,2.3144251760417585e-16,1.3573965086927962e+16,2160363640941394.0
-0.5229006438975011,-29.96,1.033625741438648,-0.2993952784140714,1.0761132403707494,-0.28965540080044755,0.8753021779488661,0.624697822051134,-0.6489948210975465,0.6616367425977729,0.4459869977371335,1.277886208492545,36.50094735137575,-0.19060227785833495,0.002950972910809935,0.0818937135615204,10.761132403707494,0.16732583313374103,2.2460390736280686e-16,1.3987257347732246e+16,2226141147190020.5
-0.5225515780471022,-29.939999999999994,1.0334514723871813,-0.2990928263279845,1.0758617311439675,-0.28941158275879814,0.8754531753539722,0.6245468246460278,-0.648732230694953,0.6620167956463034,0.44606221347824315,1.277886208492545,37.47892422322733,-0.19061268150345362,0.002798102909572859,0.08191476961754762,10.758617311439675,0.16288336610248672,2.1777347845841897e-16,1.4425965346324942e+16,2295963693740000.5
-0.5222025121967033,-29.919999999999995,1.0332773089220237,-0.29879031342895074,1.0756103609263485,-0.28916759407081777,0.8756041116147246,0.6243958883852755,-0.6484693241081512,0.6623969114654796,0.4461374022152329,1.277886208492545,38.52257761418394,-0.19062307058090475,0.002647709550210419,0.08193583063191905,10.756103609263485,0.15851670215733035,2.1095039737275014e-16,1.4892565706044096e+16,2370225447437760.5
-0.5218534463463045,-29.9,1.0331032510643974,-0.29848773975383025,1.0753591298460146,-0.28892343475475557,0.8757549866575587,0.6242450133424411,-0.6482061014652785,0.6627770896003352,0.44621256387566616,1.277886208492545,39.63864961620484,-0.19063344512981317,0.0024999141388199583,0.08195689658253576,10.753591298460146,0.15422924297565482,2.0413375104308722e-16,1.5389873734925324e+16,2449374478473495.0
-0.5215043804959056,-29.88,1.0329292988355099,-0.2981851053394908,1.075108038031128,-0.2886791048290089,0.8759058004089401,0.6240941995910597,-0.6479425628946265,0.6631573295954358,0.44628769838716814,1.277886208492545,40.83483896564895,-0.19064380518940052,0.002354840709360931,0.08197796744727463,10.75108038031128,0.15002446266733047,1.973225442851023e-16,1.5921103515929988e+16,2533922324038012.0
-0.5211553146455068,-29.86,1.0327554522565574,-0.29788241022280737,1.0748570856098942,-0.2884346043121226,0.876056552795364,0.6239434472046359,-0.6476787085246406,0.6635376309948807,0.44636280567742614,1.277886208492545,42.11997694215142,-0.19065415079898512,0.0022126160808910093,0.08199904320398846,10.748570856098942,0.1459059092568425,1.9051569707415745e-16,1.6489941258577456e+16,2624455662597592.0
-0.5208062487951078,-29.839999999999996,1.0325817113487226,-0.2975796544406624,1.0746062727105592,-0.28818993322278985,0.8762072437433555,0.6237927562566445,-0.6474145384839202,0.6639179933423023,0.44643788567418935,1.277886208492545,43.50424356071888,-0.19066448199798164,0.0020733699161014857,0.08202012383050582,10.746062727105592,0.14187720619873873,1.8371204167413527e-16,1.710063545623366e+16,2721650662872116.0
-0.520457182944709,-29.819999999999997,1.032408076133175,-0.29727683802994603,1.0743555994614105,-0.2879450915798521,0.8763578731794693,0.6236421268205306,-0.6471500529012186,0.6642984161808673,0.4465129383052693,1.277886208492545,44.99943525270142,-0.1906747988259013,0.0019372347811924327,0.08204120930463124,10.743555994614104,0.1379420539274568,1.7691031960294741e-16,1.7758108518715562e+16,2826290750715877.0
